Key	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Sample_label_protocol_ch1	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""	"""Subject cDNA was amplified through utilization of the NuGEN Ovation Pico WTA System V2 (NuGEN, San Carlos, CA, USA)."""
Sample_taxid_ch1	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""	"""9606"""
Sample_hyb_protocol	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""	"""Microarray hybridization was performed on GeneChip Human Genome U133 Plus 2.0 Array according to the manufacturer's protocol (Affymetrix, Santa Clara, CA, USA)."""
Sample_scan_protocol	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""	"""GeneChips were scanned using the GeneChip Scanner 3000."""
Sample_data_processing	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""	"""Data were normalized using Robust Multi-array Average (RMA) algorithm and log base 2 transformed using ArrayStudio (Omicsoft)"""
Sample_platform_id	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""	"""GPL13158"""
Sample_contact_name	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""	"""Alice,,Walsh"""
Sample_contact_email	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""	"""awalsh17@its.jnj.com"""
Sample_contact_department	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""	"""Immunology"""
Sample_contact_institute	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""	"""Janssen R&D"""
Sample_contact_address	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""	"""Welsh & McKean Roads"""
Sample_contact_city	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""	"""Spring House"""
Sample_contact_state	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""	"""PA"""
Sample_contact_zip/postal_code	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""	"""19477"""
Sample_contact_country	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""	"""USA"""
Sample_supplementary_file	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276855/suppl/GSM2276855_5500254232670111315712_101438.G05.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276856/suppl/GSM2276856_5500254232670111315712_101438.A07.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276857/suppl/GSM2276857_5500254232670111315712_101438.D08.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276858/suppl/GSM2276858_5500254232670111315712_101438.D04.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276859/suppl/GSM2276859_5500254232670111315712_101438.D05.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276860/suppl/GSM2276860_5500254232670111315712_101438.H09.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276861/suppl/GSM2276861_5500254232670111315709_101438.A02.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276862/suppl/GSM2276862_5500254232670111315709_101438.B05.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276863/suppl/GSM2276863_5500254232670111315709_101438.E03.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276864/suppl/GSM2276864_5500254232670111315709_101438.F05.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276865/suppl/GSM2276865_5500254232670111315709_101438.E02.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276866/suppl/GSM2276866_5500254232670111315709_101438.F04.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276867/suppl/GSM2276867_5500254232670111315712_101438.A09.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276868/suppl/GSM2276868_5500254232670111315712_101438.E06.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276869/suppl/GSM2276869_5500254232670111315712_101438.C08.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276870/suppl/GSM2276870_5500254232670111315712_101438.C07.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276871/suppl/GSM2276871_5500254232670111315712_101438.E10.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276872/suppl/GSM2276872_5500254232670111315712_101438.F09.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276873/suppl/GSM2276873_5500254232670111315709_101438.A03.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276874/suppl/GSM2276874_5500254232670111315709_101438.D02.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276875/suppl/GSM2276875_5500254232670111315709_101438.A04.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276876/suppl/GSM2276876_5500254232670111315709_101438.C02.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276877/suppl/GSM2276877_5500254232670111315709_101438.C07.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276878/suppl/GSM2276878_5500254232670111315709_101438.D08.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276879/suppl/GSM2276879_5500254232670111315712_101438.G11.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276880/suppl/GSM2276880_5500254232670111315712_101438.B05.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276881/suppl/GSM2276881_5500254232670111315712_101438.B02.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276882/suppl/GSM2276882_5500254232670111315712_101438.D03.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276883/suppl/GSM2276883_5500254232670111315712_101438.A06.CEL.gz"""	"""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2276nnn/GSM2276884/suppl/GSM2276884_5500254232670111315712_101438.E11.CEL.gz"""
Sample_data_row_count	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""	"""54715"""
series_matrix_table_begin																														
series_matrix_table_end																														
